trial_id,server_received_connection_time,server_computation_start_time,server_computation_end_time,server_sent_data_time,client_received_time,start_time,client_connection_finished_time,client_setup_start_time,client_setup_finished_time,client_computation_start_time,client_computation_finish_time,prediction
605,1679442475.2227125,1679442475.2227125,1679442475.6451366,1679442475.646137,1679442475.7118363,1679442475.221715,1679442475.2227125,1679442475.2227125,1679442475.2227125,1679442475.7118363,1679442477.275304,0
606,1679442477.277298,1679442477.277298,1679442477.6963892,1679442477.6963892,1679442477.770544,1679442477.2763016,1679442477.277298,1679442477.277298,1679442477.277298,1679442477.770544,1679442479.3229384,0
607,1679442479.3250124,1679442479.3250124,1679442479.8011422,1679442479.8021398,1679442479.8855534,1679442479.3239353,1679442479.3250124,1679442479.3250124,1679442479.3250124,1679442479.8855534,1679442481.6981819,0
608,1679442481.7004724,1679442481.7004724,1679442482.115841,1679442482.115841,1679442482.1834567,1679442481.6991787,1679442481.7004724,1679442481.7004724,1679442481.7004724,1679442482.1845617,1679442483.7736301,0
609,1679442483.7766216,1679442483.7766216,1679442484.232832,1679442484.23383,1679442484.3002524,1679442483.774627,1679442483.7766216,1679442483.7766216,1679442483.7766216,1679442484.3002524,1679442485.8758354,0
610,1679442485.8778548,1679442485.8788512,1679442486.339865,1679442486.3418596,1679442486.4344401,1679442485.8768485,1679442485.8778548,1679442485.8778548,1679442485.8778548,1679442486.4344401,1679442487.9845612,0
611,1679442487.986556,1679442487.986556,1679442488.3816788,1679442488.3826878,1679442488.4817781,1679442487.9855587,1679442487.986556,1679442487.986556,1679442487.986556,1679442488.4817781,1679442490.2370362,0
612,1679442490.2390294,1679442490.2400324,1679442490.6408427,1679442490.6418345,1679442490.7171705,1679442490.238033,1679442490.2390294,1679442490.2390294,1679442490.2390294,1679442490.7171705,1679442492.315886,0
613,1679442492.3179781,1679442492.3179781,1679442492.7658417,1679442492.7668388,1679442492.84358,1679442492.3169682,1679442492.3179781,1679442492.3179781,1679442492.3179781,1679442492.8445768,1679442494.5154836,0
614,1679442494.5184724,1679442494.5184724,1679442494.9179065,1679442494.9189205,1679442494.99963,1679442494.517476,1679442494.5184724,1679442494.5184724,1679442494.5184724,1679442494.99963,1679442496.6246364,0
615,1679442496.6271255,1679442496.6271255,1679442497.013235,1679442497.014231,1679442497.0991204,1679442496.6256332,1679442496.6271255,1679442496.6271255,1679442496.6271255,1679442497.0991204,1679442498.6962273,0
